configuration,description,threshold,n_test,accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,method_note
efficientnet_lstm_n20,Modele original EfficientNetB0 + LSTM avec N=20,0.5,599,0.8681135225375626,0.8273809523809523,0.9297658862876255,0.8755905511811024,0.9445596432552954,0.941545102783126,242,58,21,278,Configuration de reference du modele original epoch 4.
frame_only_temporal_ablation,Ablation sans information temporelle: score par frame puis moyenne,0.5,599,0.8731218697829716,0.8328358208955224,0.9331103678929766,0.8801261829652997,0.9411036789297659,0.933660197816793,244,56,20,279,"Inference seulement: chaque frame est repetee sur 20 pas pour neutraliser la dynamique temporelle; la tete LSTM/Dense entrainee est conservee, aucun reentrainement."
n10_resampled_to_20,Impact N=10: 10 frames echantillonnees puis re-echantillonnees sur 20 pas,0.5,599,0.8747913188647746,0.8313609467455622,0.939799331103679,0.8822605965463108,0.9431772575250835,0.9390098130587745,243,57,18,281,"Test partiel sans modifier l architecture: le modele exige 20 pas temporels, donc les 10 features sont reparties sur 20 pas."
n30_resampled_to_20,Impact N=30: 30 frames echantillonnees puis compressees sur 20 pas,0.5,599,0.8714524207011686,0.8284023668639053,0.9364548494983278,0.8791208791208791,0.9451393534002229,0.941651309245082,242,58,19,280,Test partiel sans modifier l architecture: N=30 reel necessiterait une architecture/reentrainement; ici 30 observations sont re-echantillonnees sur les 20 pas attendus.
