k_window,threshold,n_test,accuracy,precision,recall,f1,tn,fp,fn,tp,theoretical_latency_seconds_at_25fps,method_note
3,0.5,599,0.8681135225375626,0.8273809523809523,0.9297658862876255,0.8755905511811024,242,58,21,278,2.4000000000000004,Jeu de test compose de clips independants avec un score final par clip; K ne change pas la classification clip-level. K modifie surtout la latence et le lissage en flux video reel.
5,0.5,599,0.8681135225375626,0.8273809523809523,0.9297658862876255,0.8755905511811024,242,58,21,278,4.0,Jeu de test compose de clips independants avec un score final par clip; K ne change pas la classification clip-level. K modifie surtout la latence et le lissage en flux video reel.
7,0.5,599,0.8681135225375626,0.8273809523809523,0.9297658862876255,0.8755905511811024,242,58,21,278,5.6000000000000005,Jeu de test compose de clips independants avec un score final par clip; K ne change pas la classification clip-level. K modifie surtout la latence et le lissage en flux video reel.
10,0.5,599,0.8681135225375626,0.8273809523809523,0.9297658862876255,0.8755905511811024,242,58,21,278,8.0,Jeu de test compose de clips independants avec un score final par clip; K ne change pas la classification clip-level. K modifie surtout la latence et le lissage en flux video reel.
