row_type,model,display_name,threshold,metric,value,fpr,tpr,precision,recall,tn,fp,fn,tp,accuracy,f1,ms_per_frame
roc_point,original,SIRCH original (epoch 4),0.8652671575546265,roc_point_43,,0.08666666666666667,0.7759197324414716,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8614608645439148,roc_point_44,,0.08666666666666667,0.7792642140468228,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8609947562217712,roc_point_45,,0.09333333333333334,0.7792642140468228,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8457625508308411,roc_point_46,,0.09333333333333334,0.7959866220735786,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8450495600700378,roc_point_47,,0.09666666666666666,0.7959866220735786,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8318489789962769,roc_point_48,,0.09666666666666666,0.802675585284281,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8229222893714905,roc_point_49,,0.10333333333333333,0.802675585284281,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8224997520446777,roc_point_50,,0.10333333333333333,0.8060200668896321,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.813491940498352,roc_point_51,,0.10666666666666667,0.8060200668896321,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8105307221412659,roc_point_52,,0.10666666666666667,0.8127090301003345,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8057618141174316,roc_point_53,,0.11,0.8127090301003345,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8037418127059937,roc_point_54,,0.11,0.8160535117056856,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.8026552796363831,roc_point_55,,0.11333333333333333,0.8160535117056856,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.7969329357147217,roc_point_56,,0.11333333333333333,0.822742474916388,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.7889857888221741,roc_point_57,,0.11666666666666667,0.822742474916388,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.7818815112113953,roc_point_58,,0.11666666666666667,0.8327759197324415,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.7697075605392456,roc_point_59,,0.12,0.8327759197324415,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.7486537098884583,roc_point_60,,0.12,0.8394648829431438,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.7395440340042114,roc_point_61,,0.12333333333333334,0.8394648829431438,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.7138398885726929,roc_point_62,,0.12333333333333334,0.8561872909698997,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.7135124802589417,roc_point_63,,0.12666666666666668,0.8561872909698997,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6932693123817444,roc_point_64,,0.12666666666666668,0.8662207357859532,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6705120801925659,roc_point_65,,0.13,0.8662207357859532,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6501347422599792,roc_point_66,,0.13,0.8762541806020067,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6488312482833862,roc_point_67,,0.13333333333333333,0.8762541806020067,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6471279263496399,roc_point_68,,0.13333333333333333,0.8795986622073578,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6439141631126404,roc_point_69,,0.13666666666666666,0.8795986622073578,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6414873003959656,roc_point_70,,0.13666666666666666,0.882943143812709,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6239920854568481,roc_point_71,,0.14333333333333334,0.882943143812709,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6142632961273193,roc_point_72,,0.14333333333333334,0.8896321070234113,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6124508380889893,roc_point_73,,0.14666666666666667,0.8896321070234113,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6016814112663269,roc_point_74,,0.14666666666666667,0.8963210702341137,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.6000950932502747,roc_point_75,,0.15,0.8963210702341137,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.5923686623573303,roc_point_76,,0.15,0.903010033444816,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.5834771394729614,roc_point_77,,0.16333333333333333,0.903010033444816,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.5643495321273804,roc_point_78,,0.16333333333333333,0.9163879598662207,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.5578233599662781,roc_point_79,,0.16666666666666666,0.9163879598662207,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.5492945313453674,roc_point_80,,0.16666666666666666,0.9264214046822743,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.5439444780349731,roc_point_81,,0.17333333333333334,0.9264214046822743,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.5297648906707764,roc_point_82,,0.17333333333333334,0.9297658862876255,,,,,,,,,
