model,display_name,evaluation,simulated_train_domain,test_domain,threshold,n,violence_n,non_violence_n,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1_score,specificity,false_positive_rate,false_negative_rate,roc_auc,interpretation,methodological_limit
original,SIRCH original (epoch 4),approx_train_RLVS_test_RWF2000,RLVS,RWF-2000,0.500000,304,154,150,109,41,18,136,0.805921,0.804892,0.768362,0.883117,0.821752,0.726667,0.273333,0.116883,0.890173,Proxy for RLVS-to-RWF generalization: evaluates the already trained combined model only on RWF-2000 test videos.,"Approximation: the available models were trained on RLVS and RWF-2000 combined. No cross-dataset retraining was performed, so these rows measure domain-specific test performance, not a true train-on-one-dataset/evaluate-on-the-other experiment."
original,SIRCH original (epoch 4),approx_train_RWF2000_test_RLVS,RWF-2000,RLVS,0.500000,295,145,150,133,17,3,142,0.932203,0.932989,0.893082,0.979310,0.934211,0.886667,0.113333,0.020690,0.981149,Proxy for RWF-to-RLVS generalization: evaluates the already trained combined model only on RLVS test videos.,"Approximation: the available models were trained on RLVS and RWF-2000 combined. No cross-dataset retraining was performed, so these rows measure domain-specific test performance, not a true train-on-one-dataset/evaluate-on-the-other experiment."
augmente,SIRCH augmente,approx_train_RLVS_test_RWF2000,RLVS,RWF-2000,0.500000,304,154,150,123,27,9,145,0.881579,0.880779,0.843023,0.941558,0.889571,0.820000,0.180000,0.058442,0.954762,Proxy for RLVS-to-RWF generalization: evaluates the already trained combined model only on RWF-2000 test videos.,"Approximation: the available models were trained on RLVS and RWF-2000 combined. No cross-dataset retraining was performed, so these rows measure domain-specific test performance, not a true train-on-one-dataset/evaluate-on-the-other experiment."
augmente,SIRCH augmente,approx_train_RWF2000_test_RLVS,RWF-2000,RLVS,0.500000,295,145,150,140,10,2,143,0.959322,0.959770,0.934641,0.986207,0.959732,0.933333,0.066667,0.013793,0.990897,Proxy for RWF-to-RLVS generalization: evaluates the already trained combined model only on RLVS test videos.,"Approximation: the available models were trained on RLVS and RWF-2000 combined. No cross-dataset retraining was performed, so these rows measure domain-specific test performance, not a true train-on-one-dataset/evaluate-on-the-other experiment."
original,SIRCH original (epoch 4),combined_test_reference,RLVS+RWF-2000,RLVS+RWF-2000,0.500000,599,299,300,242,58,21,278,0.868114,0.868216,0.827381,0.929766,0.875591,0.806667,0.193333,0.070234,0.944560,Reference performance on the full 599-video test set.,Reference row; original training used combined datasets.
augmente,SIRCH augmente,combined_test_reference,RLVS+RWF-2000,RLVS+RWF-2000,0.500000,599,299,300,263,37,11,288,0.919866,0.919939,0.886154,0.963211,0.923077,0.876667,0.123333,0.036789,0.976667,Reference performance on the full 599-video test set.,Reference row; original training used combined datasets.

