configuration,description,threshold,n_test,tn,fp,fn,tp,accuracy,precision,recall,f1_score,ms_per_frame,roc_auc,average_precision,model_path,training_log,source_csv
efficientnet_only,"EfficientNetB0 seul, sans module recurrent",0.5,599,256,44,44,255,0.8530884808013356,0.8528428093645485,0.8528428093645485,0.8528428093645485,42.79288640603398,,,C:\SIRCH_ENV\models\phase3\sirch_model_efficientnet_only.h5,C:\SIRCH_ENV\models\phase3\training_log_efficientnet_only.csv,C:\SIRCH_ENV\models\phase3\evaluation_efficientnet_only.csv
efficientnet_lstm_original,"EfficientNetB0 + LSTM 256, modele original epoch 4",0.5,599,242,58,21,278,0.8681135225375626,0.8273809523809523,0.9297658862876255,0.8755905511811024,36.87481104034016,0.9445596432552954,0.941545102783126,C:\SIRCH_ENV\models\sirch_model.h5,C:\SIRCH_ENV\models\training_log.csv,C:\SIRCH_ENV\models\ablation_results.csv
efficientnet_gru,"EfficientNetB0 + GRU 256, phase 3 H2",0.5,599,262,38,22,277,0.8998330550918197,0.8793650793650793,0.9264214046822743,0.9022801302931596,36.45660007537307,,,C:\SIRCH_ENV\models\phase3\sirch_model_gru.h5,C:\SIRCH_ENV\models\phase3\training_log_gru.csv,C:\SIRCH_ENV\models\phase3\evaluation_gru.csv
