cell,architecture,enrichment,theta,k,n,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc
lstm_original,LSTM,original,0.7,7,592,247,48,23,274,0.8800675676,0.8799235291,0.8509316770,0.9225589226,0.8372881356,0.8852988691,0.9526565086,0.9508687200
lstm_augmented,LSTM,enrichi,0.6,7,592,262,33,21,276,0.9087837838,0.9087142613,0.8932038835,0.9292929293,0.8881355932,0.9108910891,0.9664897563,0.9661266134
gru_original,GRU,original,0.6,10,592,241,54,19,278,0.8766891892,0.8764880443,0.8373493976,0.9360269360,0.8169491525,0.8839427663,0.9553158706,0.9543198336
gru_augmented,GRU,enrichi,0.6,7,592,241,54,16,281,0.8817567568,0.8815385493,0.8388059701,0.9461279461,0.8169491525,0.8892405063,0.9572447640,0.9559223818
