cell,architecture,enrichment,theta,k,n,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc
lstm_original_grouped,LSTM,original,0.7,5,597,240,60,23,274,0.8609715243,0.8612794613,0.8203592814,0.9225589226,0.8000000000,0.8684627575,0.9495286195,0.9526505783
lstm_augmented_grouped,LSTM,enriched,0.7,7,597,241,59,23,274,0.8626465662,0.8629461279,0.8228228228,0.9225589226,0.8033333333,0.8698412698,0.9556902357,0.9562461069
gru_original_grouped,GRU,original,0.65,5,597,252,48,28,269,0.8726968174,0.8728619529,0.8485804416,0.9057239057,0.8400000000,0.8762214984,0.9510437710,0.9514442723
gru_augmented_grouped,GRU,enriched,0.65,10,597,263,37,42,255,0.8676716918,0.8676262626,0.8732876712,0.8585858586,0.8766666667,0.8658743633,0.9453198653,0.9464163129
