metric,delta_augmented_minus_original,ci95_lower,ci95_upper,bootstrap_iterations,seed
accuracy,0.0016750419,-0.0184254606,0.0217755444,10000,42
balanced_accuracy,0.0016666667,-0.0185640419,0.0217589625,10000,42
precision,0.0024635414,-0.0220032344,0.0273635294,10000,42
recall,0.0000000000,-0.0231807331,0.0234133353,10000,42
specificity,0.0033333333,-0.0293183560,0.0364238411,10000,42
f1,0.0013785123,-0.0172307117,0.0196996621,10000,42
roc_auc,0.0061616162,-0.0024242901,0.0149317909,10000,42
pr_auc,0.0035955286,-0.0053551220,0.0126412711,10000,42
